Bin Center, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days
43200,0,0,0,0.00846,0,,0,0,0,0,0,0.005097
43400,0.014421,0.016044,0,0.016921,0,,0,0,0,0,0.007917,0.005097
43600,0,0,0,0,0,,0,0.021509,0.019117,0,0,0.010193
43800,0,0.008022,0,0.00846,0,,0.019689,0,0,0,0.007917,0.005097
44000,0,0,0,0,0,,0,0.021509,0,0,0,0.010193
44200,0,0.008022,0,0,0,,0,0,0,0.012394,0.007917,0
44400,0,0,0,0,0,,0,0,0.019117,0,0.007917,0.005097
44600,0,0,0,0,0,,0.019689,0.010754,0.009558,0,0.007917,0.010193
44800,0,0.008022,0,0.00846,0,,0.039377,0.021509,0,0.012394,0,0.010193
45000,0.028842,0.008022,0,0.00846,0,,0.019689,0.021509,0,0,0,0.005097
45200,0,0,0.018706,0,0,,0.019689,0.021509,0.009558,0,0,0.010193
45400,0,0,0.018706,0,0,,0,0,0,0,0.015833,0
45600,0,0,0,0,0.026966,,0,0.010754,0.009558,0,0,0.01529
45800,0.014421,0.024067,0.018706,0,0,,0.019689,0,0.009558,0,0.007917,0.010193
46000,0,0,0.018706,0,0,,0,0,0.009558,0,0,0.01529
46200,0,0.016044,0.018706,0,0,,0,0.010754,0,0.012394,0,0.005097
46400,0.014421,0,0,0,0,,0.019689,0,0,0,0.015833,0
46600,0.014421,0.016044,0,0,0,,0,0,0.019117,0,0,0
46800,0,0,0.018706,0,0,,0.019689,0,0.009558,0,0,0
47000,0.014421,0.008022,0,0,0,,0.019689,0.010754,0,0.012394,0.007917,0.01529
47200,0.014421,0.008022,0,0,0,,0.019689,0,0,0.012394,0.007917,0.005097
47400,0,0.008022,0,0,0,,0.019689,0.010754,0,0.024788,0,0
47600,0,0,0,0.00846,0,,0,0.010754,0,0,0.007917,0.020386
47800,0,0.008022,0.018706,0,0,,0,0.010754,0,0,0.007917,0
48000,0.014421,0,0,0.016921,0,,0,0.010754,0,0,0.007917,0
48200,0.014421,0.008022,0.037413,0,0,,0,0,0.009558,0,0.007917,0.010193
48400,0,0.008022,0,0,0,,0,0.021509,0,0,0,0.005097
48600,0,0,0,0,0.013483,,0,0.010754,0,0,0,0.01529
48800,0.014421,0,0,0.00846,0,,0,0,0,0,0,0.005097
49000,0.014421,0.008022,0.018706,0,0,,0.019689,0,0.009558,0,0.015833,0.010193
49200,0.014421,0.008022,0,0,0.013483,,0,0.010754,0,0,0,0.005097
49400,0,0.016044,0.018706,0,0,,0,0.010754,0.009558,0.012394,0,0.010193
49600,0,0,0.037413,0,0,,0,0,0,0.012394,0.02375,0.020386
49800,0.014421,0,0.018706,0,0,,0,0.032263,0,0,0,0.005097
50000,0.014421,0,0,0,0,,0,0,0.019117,0,0,0
50200,0,0,0,0,0,,0,0.010754,0,0,0,0.005097
50400,0,0.008022,0,0,0.013483,,0,0.010754,0.009558,0,0,0
50600,0,0,0,0,0,,0,0,0,0,0.007917,0
50800,0,0.016044,0,0.00846,0,,0.019689,0,0,0,0.007917,0
