Bin Center,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,p53 het,p53 het,p53 het,p53 het,p53 het,p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het
15800,0.039571,0,0.030526,0.051877,0.00673,,0,0.074101,0.01796,0.063073215,,,0.325652012,0,0.686790464,,,,0.082879455,0.027572324,0.065212322,0.104518801,,
16000,0.118712,0,0.015263,0.017292,0.020189,,0,0.042344,0.125718,0.031536608,,,0.205674955,0.154604494,0.616709804,,,,0,0.055144648,0.117382179,0.085515383,,
16200,0.039571,0,0.076316,0.040349,0.040377,,0,0.042344,0.035919,0.04204881,,,0.445629069,0.025767416,0.518596881,,,,0,0.082716972,0.039127393,0.076013673,,
16400,0.079141,0,0,0.028821,0.013459,,0.123979,0.042344,0.053879,0.052561013,,,0.154256216,0.128837078,0.378435562,,,,0.020719864,0.055144648,0.09129725,0.085515383,,
16600,0,0,0.030526,0.046113,0.033648,,0,0.021172,0.01796,0.052561013,,,0.137116637,0,0.378435562,,,,0.062159591,0.082716972,0.026084929,0.104518801,,
16800,0.118712,0.097293,0.030526,0.011528,0.026918,,0.041326,0.063515,0.053879,0.010512203,,,0.257093694,0.051534831,0.420483957,,,,0.020719864,0.082716972,0.052169857,0.085515383,,
17000,0.039571,0,0.030526,0.011528,0.013459,,0,0.031758,0.053879,0.04204881,,,0.137116637,0,0.350403298,,,,0.020719864,0,0,0.066511964,,
17200,0,0,0,0.034585,0.047107,,0,0.021172,0.053879,0.021024405,,,0.222814534,0.051534831,0.504580749,,,,0,0.082716972,0.052169857,0.11402051,,
17400,0.039571,0.097293,0.045789,0.017292,0.020189,,0.041326,0.084687,0.035919,0.052561013,,,0.239954114,0.051534831,0.196225847,,,,0.020719864,0.082716972,0.039127393,0.066511964,,
17600,0.079141,0,0,0.017292,0.033648,,0.041326,0.031758,0.035919,0.031536608,,,0.188535375,0.051534831,0.36441943,,,,0,0.055144648,0.039127393,0.038006837,,
17800,0,0,0.045789,0.028821,0.047107,,0.082653,0.031758,0.035919,0.052561013,,,0.154256216,0.025767416,0.266306506,,,,0,0.027572324,0.026084929,0.038006837,,
18000,0,0.097293,0.030526,0.046113,0.013459,,0,0.042344,0.01796,0,,,0.171395796,0.051534831,0.210241979,,,,0.020719864,0.082716972,0.052169857,0.066511964,,
18200,0.039571,0,0.015263,0.046113,0.026918,,0.041326,0.021172,0.053879,0.021024405,,,0.085697898,0.103069662,0.238274243,,,,0.041439727,0.027572324,0.026084929,0.009501709,,
18400,0.039571,0,0.045789,0.034585,0.040377,,0,0.042344,0.01796,0.04204881,,,0.085697898,0,0.308354902,,,,0.020719864,0,0.052169857,0.047508546,,
18600,0,0,0.061053,0.011528,0.060566,,0.082653,0.021172,0,0.052561013,,,0.137116637,0.025767416,0.168193583,,,,0.062159591,0,0.013042464,0.085515383,,
18800,0.039571,0,0.061053,0.028821,0.020189,,0.041326,0.042344,0.01796,0.031536608,,,0.051418739,0.128837078,0.182209715,,,,0.041439727,0.027572324,0.039127393,0.057010255,,
19000,0,0,0,0.034585,0.033648,,0,0.042344,0.035919,0.052561013,,,0.137116637,0.025767416,0.224258111,,,,0.020719864,0.082716972,0.013042464,0.104518801,,
19200,0,0.048646,0,0.028821,0.020189,,0,0.031758,0,0.063073215,,,0.102837477,0.025767416,0.224258111,,,,0.020719864,0,0.065212322,0.085515383,,
19400,0.039571,0.048646,0,0.005764,0.026918,,0,0.010586,0.01796,0.063073215,,,0.119977057,0.051534831,0.182209715,,,,0,0.027572324,0.039127393,0.066511964,,
19600,0.039571,0.048646,0,0.017292,0.020189,,0,0.042344,0.035919,0.021024405,,,0.085697898,0.077302247,0.196225847,,,,0.020719864,0.055144648,0.013042464,0.076013673,,
19800,0.079141,0,0,0.023056,0.013459,,0,0.031758,0.035919,0.021024405,,,0.051418739,0.025767416,0.126145187,,,,0.020719864,0.027572324,0.026084929,0.076013673,,
20000,0.039571,0,0.045789,0.011528,0.013459,,0.123979,0.021172,0,0.010512203,,,0.102837477,0.051534831,0.196225847,,,,,,,,,
20200,0,0,0.030526,0.028821,0.013459,,0,0.010586,0.053879,0.031536608,,,0.068558318,0.025767416,0.084096791,,,,,,,,,
20400,0,0.048646,0.015263,0.005764,0.040377,,0,0.042344,0.035919,0.105122025,,,0.085697898,0.025767416,0.182209715,,,,,,,,,
20600,0.039571,0.048646,0.015263,0.028821,0.00673,,0,0.031758,0.035919,0.021024405,,,0.119977057,0,0.084096791,,,,,,,,,
20800,0,0,0.015263,0.005764,0.020189,,0.041326,0.021172,0.053879,0.031536608,,,0.01713958,0.025767416,0.112129055,,,,,,,,,
21000,0,0,0.030526,0.028821,0.00673,,0,0,0,0.010512203,,,0.051418739,0.025767416,0.098112923,,,,,,,,,
21200,0,0.048646,0,0.005764,0.033648,,0,0.063515,0,0.031536608,,,0.102837477,0,0.126145187,,,,,,,,,
21400,0,0,0.030526,0.051877,0.026918,,0.041326,0.05293,0.071839,0.021024405,,,0.068558318,0.025767416,0.168193583,,,,,,,,,
21600,0,0,0,0.034585,0.026918,,0,0.031758,0,0.052561013,,,0.051418739,0.025767416,0.07008066,,,,,,,,,
21800,0.039571,0,0,0.011528,0.00673,,0.041326,0.031758,0.01796,0.021024405,,,0.034279159,0.025767416,0.056064528,,,,,,,,,
22000,0.118712,0,0.015263,0.011528,0.013459,,0.041326,0.031758,0.01796,0,,,0.01713958,0.025767416,0.154177451,,,,,,,,,
22200,0,0,0.015263,0.028821,0.020189,,0,0.031758,0,0.04204881,,,0.102837477,0.051534831,0.126145187,,,,,,,,,
22400,0,0,0,0.017292,0.013459,,0,0.021172,0.053879,0,,,0.034279159,0.077302247,0.056064528,,,,,,,,,
22600,0.039571,0,0.015263,0.017292,0.020189,,0,0.010586,0.035919,0.031536608,,,0.051418739,0.051534831,0.098112923,,,,,,,,,
22800,0.079141,0,0,0.005764,0.013459,,0.041326,0.021172,0.071839,0.010512203,,,0.034279159,0.051534831,0.098112923,,,,,,,,,
23000,0.039571,0,0.015263,0.011528,0.033648,,0.082653,0,0.01796,0.010512203,,,0.051418739,0.025767416,0.07008066,,,,,,,,,
23200,0,0.048646,0.015263,0.028821,0.020189,,0.041326,0.05293,0,0.031536608,,,0.068558318,0,0.07008066,,,,,,,,,
23400,0,0,0.030526,0.011528,0.020189,,0.041326,0,0,0,,,0.01713958,0.025767416,0.084096791,,,,,,,,,
23600,0.039571,0,0.015263,0.017292,0.013459,,0,0,0.01796,0.010512203,,,0.034279159,0.025767416,0.112129055,,,,,,,,,
23800,0,0,0.015263,0.011528,0.013459,,0,0.042344,0.01796,0,,,0.051418739,0.051534831,0.084096791,,,,,,,,,
24000,0.039571,0,0,0.011528,0.026918,,0,0.063515,0.035919,0.052561013,,,0.068558318,0.051534831,0.07008066,,,,,,,,,
24200,0.039571,0,0.045789,0.011528,0.00673,,0.041326,0.021172,0,0.010512203,,,0.034279159,0.025767416,0.014016132,,,,,,,,,
24400,0,0,0,0.017292,0,,0.041326,0.05293,0,0.031536608,,,0.068558318,0.025767416,0.098112923,,,,,,,,,
24600,0.079141,0.097293,0.015263,0,0.013459,,0.041326,0.021172,0,0.031536608,,,0.051418739,0.025767416,0.056064528,,,,,,,,,
24800,0,0,0.015263,0.005764,0,,0.041326,0.010586,0.035919,0.04204881,,,0.051418739,0.025767416,0.056064528,,,,,,,,,
25000,0.079141,0,0.015263,0.023056,0,,0.041326,0.010586,0,0.021024405,,,0.01713958,0.051534831,0.084096791,,,,,,,,,
25200,0,0,0.030526,0.034585,0.013459,,0,0.021172,0,0.010512203,,,0.051418739,0,0.042048396,,,,,,,,,
25400,0.039571,0,0,0.005764,0.00673,,0.041326,0.010586,0.035919,0.021024405,,,0.034279159,0.051534831,0.042048396,,,,,,,,,
25600,0,0,0,0.005764,0.00673,,0.041326,0.042344,0.053879,0.021024405,,,0.068558318,0,0.014016132,,,,,,,,,
25800,0,0,0,0.017292,0,,0,0,0.035919,0.031536608,,,0.034279159,0,0.028032264,,,,,,,,,
26000,0,0.048646,0.015263,0.011528,0.020189,,0,0,0.01796,0,,,0.034279159,0,0.042048396,,,,,,,,,
26200,0.039571,0,0.030526,0.017292,0.020189,,0.041326,0.031758,0.01796,0.010512203,,,0.01713958,0.025767416,0.056064528,,,,,,,,,
26400,0,0.097293,0.015263,0.017292,0.013459,,0,0.021172,0.01796,0.021024405,,,0.01713958,0,0.084096791,,,,,,,,,
26600,0.039571,0,0,0.005764,0.033648,,0,0,0.071839,0.021024405,,,0.051418739,0.025767416,0.042048396,,,,,,,,,
26800,0.039571,0,0.015263,0.011528,0.020189,,0.041326,0.021172,0.01796,0,,,0.119977057,0,0.056064528,,,,,,,,,
27000,0.079141,0,0.030526,0.005764,0.013459,,0.041326,0.010586,0.01796,0.021024405,,,0.034279159,0,0.042048396,,,,,,,,,
27200,0.039571,0,0.015263,0.017292,0.00673,,0,0.010586,0,0.010512203,,,0.085697898,0.025767416,0.07008066,,,,,,,,,
27400,0,0,0.030526,0.017292,0,,0.041326,0.021172,0,0,,,0.01713958,0.025767416,0.028032264,,,,,,,,,
27600,0,0,0,0.017292,0,,0,0.010586,0,0,,,0.01713958,0.025767416,0.014016132,,,,,,,,,
