Bin Center,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,Kras,Kras,Kras,Kras,Kras,Kras,over,over,over,over,over,over,time,time,time,time,time,time
38600,0.037771483,,0.012536271,0,0.007379829,,0.037771483,0,0.012536271,0,,,,,,,,,,,,,,
38800,0.012590494,,0.012536271,0,0,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
39000,0.025180988,,0,0,0.022139486,,0.025180988,0,0,0,,,,,,,,,,,,,,
39200,0,,0,0,0.007379829,,0,0.020015523,0,0,,,,,,,,,,,,,,
39400,0,,0,0.015176882,0.007379829,,0,0,0,0.015176882,,,,,,,,,,,,,,
39600,0.025180988,,0,0,0,,0.025180988,0,0,0,,,,,,,,,,,,,,
39800,0.012590494,,0,0,0,,0.012590494,0,0,0,,,,,,,,,,,,,,
40000,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
40200,0.012590494,,0,0,0,,0.012590494,0,0,0,,,,,,,,,,,,,,
40400,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
40600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
40800,0.012590494,,0.012536271,0,0.014759658,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
41000,0.012590494,,0,0,0,,0.012590494,0,0,0,,,,,,,,,,,,,,
41200,0.025180988,,0.025072542,0,0.007379829,,0.025180988,0,0.025072542,0,,,,,,,,,,,,,,
41400,0,,0,0.015176882,0,,0,0,0,0.015176882,,,,,,,,,,,,,,
41600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
41800,0.037771483,,0,0.015176882,0.014759658,,0.037771483,0,0,0.015176882,,,,,,,,,,,,,,
42000,0,,0.012536271,0,0.022139486,,0,0,0.012536271,0,,,,,,,,,,,,,,
42200,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
42400,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
42600,0.012590494,,0,0,0,,0.012590494,0,0,0,,,,,,,,,,,,,,
42800,0,,0.025072542,0,0,,0,0,0.025072542,0,,,,,,,,,,,,,,
43000,0.025180988,,0,0,0,,0.025180988,0,0,0,,,,,,,,,,,,,,
43200,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
43400,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
43600,0,,0,0.030353765,0.014759658,,0,0,0,0.030353765,,,,,,,,,,,,,,
43800,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
44000,0.012590494,,0.012536271,0,0.022139486,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
44200,0,,0,0.015176882,0.007379829,,0,0,0,0.015176882,,,,,,,,,,,,,,
44400,0,,0.012536271,0,0,,0,0,0.012536271,0,,,,,,,,,,,,,,
44600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
44800,0.012590494,,0,0,0,,0.012590494,0,0,0,,,,,,,,,,,,,,
45000,0,,0,0,0.007379829,,0,0.020015523,0,0,,,,,,,,,,,,,,
45200,0,,0.012536271,0,0,,0,0,0.012536271,0,,,,,,,,,,,,,,
45400,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
45600,0,,0.025072542,0,0,,0,0,0.025072542,0,,,,,,,,,,,,,,
45800,0.012590494,,0,0,0.007379829,,0.012590494,0,0,0,,,,,,,,,,,,,,
46000,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
46200,0.025180988,,0.025072542,0,0,,0.025180988,0,0.025072542,0,,,,,,,,,,,,,,
